Warning: NaN result encountered.
         Current function value: nan
         Iterations: 0
         Function evaluations: 1
         Gradient evaluations: 1
         11354023 function calls (11182927 primitive calls) in 24.862 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.022    0.022 __init__.py:119(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1199(getLoggerClass)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:121(ValidationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1210(__init__)
       32    0.000    0.000    0.001    0.000 __init__.py:1221(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1233(_initialize)
        1    0.000    0.000    0.030    0.030 __init__.py:124(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:124(UserDataHandler)
       32    0.000    0.000    0.000    0.000 __init__.py:1272(_fixupParents)
        1    0.000    0.000    0.066    0.066 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.070    0.070 __init__.py:130(Conf)
        1    0.000    0.000    0.000    0.000 __init__.py:1309(_clear_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1320(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1326(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
     6669    0.004    0.000    0.010    0.000 __init__.py:1340(is_interactive)
       33    0.000    0.000    0.000    0.000 __init__.py:1341(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1344(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1354(setLevel)
      728    0.000    0.000    0.001    0.000 __init__.py:1361(debug)
     1808    0.004    0.000    0.006    0.000 __init__.py:1373(is_math_text)
     5721    0.007    0.000    0.027    0.000 __init__.py:1382(_to_unmasked_float_array)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      480    0.002    0.000    0.094    0.000 __init__.py:1393(_check_1d)
        2    0.000    0.000    0.004    0.002 __init__.py:14(<module>)
      904    0.001    0.000    0.001    0.000 __init__.py:143(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:1434(log)
        1    0.000    0.000    0.000    0.000 __init__.py:1481(makeRecord)
       36    0.000    0.000    0.006    0.000 __init__.py:1494(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1496(_log)
       10    0.000    0.000    0.660    0.066 __init__.py:15(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:151(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       72    0.001    0.000    0.012    0.000 __init__.py:1523(_preprocess_data)
        2    0.000    0.000    0.000    0.000 __init__.py:1531(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:159(<listcomp>)
        7    0.000    0.000    1.746    0.249 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:16(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        7    0.000    0.000    0.000    0.000 __init__.py:1605(getEffectiveLevel)
