         314237720 function calls (309171621 primitive calls) in 2552.880 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11644397/9940132 1876.145    0.000 1927.347    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   177324    0.615    0.000    1.306    0.000 partial_eval.py:556(new_eqn_recipe)
   504236    0.613    0.000    0.832    0.000 partial_eval.py:433(__init__)
  1198305    0.597    0.000    5.836    0.000 _methods.py:47(_all)
   326437    0.595    0.000    0.855    0.000 ad.py:185(read_primal)
1725010/1724860    0.595    0.000    0.615    0.000 {built-in method builtins.setattr}
  1140919    0.590    0.000    6.278    0.000 lax_numpy.py:301(<genexpr>)
   270964    0.574    0.000    9.063    0.000 dtypes.py:296(<setcomp>)
      158    0.571    0.004   10.494    0.066 partial_eval.py:591(tracers_to_jaxpr)
   223922    0.571    0.000    9.561    0.000 lax_numpy.py:2702(asarray)
   504400    0.553    0.000    3.222    0.000 partial_eval.py:608(getvar)
   747155    0.552    0.000    5.771    0.000 partial_eval.py:76(get_aval)
   308137    0.546    0.000    5.641    0.000 fromnumeric.py:97(take)
   252353    0.541    0.000   15.305    0.000 lax_numpy.py:267(_promote_dtypes)
   422473    0.540    0.000    8.342    0.000 <__array_function__ internals>:2(all)
    27900    0.535    0.000   23.570    0.001 ad.py:291(process_call)
   215079    0.527    0.000    0.527    0.000 {built-in method numpy.empty}
   372874    0.527    0.000    0.800    0.000 util.py:301(__new__)
    65100    0.525    0.000    2.460    0.000 lax.py:3514(_reshape_impl)
    65222    0.521    0.000    1.468    0.000 numeric.py:1336(moveaxis)
   177125    0.520    0.000   40.434    0.000 lax.py:343(add)
   233284    0.519    0.000    1.461    0.000 partial_eval.py:100(new_const)
  3683906    0.515    0.000    0.515    0.000 {method 'append' of 'list' objects}
   112321    0.512    0.000    5.156    0.000 lax_numpy.py:4413(_expand_bool_indices)
   252324    0.510    0.000    5.636    0.000 lax_numpy.py:274(<listcomp>)
   112321    0.508    0.000    0.528    0.000 lax_numpy.py:4179(_merge_static_and_dynamic_indices)
   178089    0.500    0.000    0.500    0.000 {built-in method numpy.zeros}
   130444    0.489    0.000    0.697    0.000 numeric.py:1273(normalize_axis_tuple)
   569670    0.486    0.000    6.142    0.000 partial_eval.py:447(aval)
   111609    0.484    0.000   25.381    0.000 lax.py:669(broadcast)
  2602535    0.483    0.000    0.483    0.000 core.py:591(pure)
   140582    0.480    0.000    2.742    0.000 lax_numpy.py:237(_promote_shapes)
     9300    0.471    0.000  391.903    0.042 model.py:269(__call__)
   121621    0.467    0.000   42.888    0.000 lax_numpy.py:1367(expand_dims)
    55801    0.465    0.000   21.171    0.000 ad.py:431(linear_jvp)
   551264    0.463    0.000    1.944    0.000 dtypes.py:273(is_weakly_typed)
   532296    0.461    0.000    0.706    0.000 partial_eval.py:50(__new__)
   111604    0.459    0.000   28.331    0.000 lax.py:1435(full)
   121107    0.458    0.000   48.032    0.000 lax.py:477(concatenate)
      155    0.458    0.003  430.691    2.779 model.py:175(forward)
  1577844    0.455    0.000    0.455    0.000 partial_eval.py:72(get_known)
    46501    0.452    0.000   11.875    0.000 lax.py:3257(_broadcast_in_dim_transpose_rule)
   308137    0.448    0.000    6.501    0.000 <__array_function__ internals>:2(take)
  2204912    0.443    0.000    0.443    0.000 dtypes.py:192(<genexpr>)
   335762    0.437    0.000    0.557    0.000 linear_util.py:135(wrap)
   701289    0.437    0.000    5.688    0.000 lax_numpy.py:297(_arraylike)
   149920    0.434    0.000    1.720    0.000 numeric.py:166(ones)
    93620    0.432    0.000    5.205    0.000 ad.py:268(pure)
   354742    0.431    0.000    0.431    0.000 source_info_util.py:57(user_context)
    27900    0.427    0.000    9.742    0.000 ad.py:543(call_transpose)
  140/137    0.427    0.003    0.430    0.003 {built-in method _imp.create_dynamic}
    55800    0.423    0.000   20.414    0.000 lax.py:896(scatter_add)
   223927    0.422    0.000    1.323    0.000 tree_util.py:79(tree_leaves)
   177523    0.421    0.000    1.352    0.000 source_info_util.py:54(current)
   112321    0.416    0.000    0.763    0.000 lax_numpy.py:4460(_canonicalize_tuple_index)
    93795    0.410    0.000    0.454    0.000 tree_util.py:63(tree_unflatten)
   177324    0.406    0.000    4.275    0.000 partial_eval.py:582(recipe_to_eqn)
    65100    0.405    0.000    5.039    0.000 lax.py:706(reshape)
   130438    0.404    0.000    4.056    0.000 xla.py:111(array_result_handler)
  1941722    0.398    0.000    0.398    0.000 fromnumeric.py:2982(_ndim_dispatcher)
        1    0.397    0.397    0.397    0.397 {built-in method matplotlib._png.write_png}
   242140    0.394    0.000    0.866    0.000 linear_util.py:204(transformation_with_aux)
122155/122152    0.388    0.000   51.787    0.000 lax_numpy.py:4957(deferring_binary_op)
    27900    0.382    0.000   14.666    0.001 partial_eval.py:303(partial_eval)
   813327    0.370    0.000    0.476    0.000 partial_eval.py:451(parents)
   444893    0.367    0.000    0.367    0.000 fromnumeric.py:74(<dictcomp>)
120914/65100    0.360    0.000   32.417    0.000 core.py:1231(process)
   223922    0.354    0.000    2.458    0.000 lax_numpy.py:333(_constant_like)
    93157    0.351    0.000    3.621    0.000 partial_eval.py:108(new_instantiated_const)
    84475    0.349    0.000   21.623    0.000 ad.py:459(<listcomp>)
   205227    0.349    0.000   37.608    0.000 partial_eval.py:136(process_primitive)
   130218    0.346    0.000    0.415    0.000 core.py:755(new_sublevel)
   242739    0.343    0.000    3.174    0.000 partial_eval.py:118(instantiate_const)
  1456029    0.341    0.000    0.341    0.000 {built-in method _operator.index}
    55801    0.337    0.000  182.608    0.003 core.py:525(__getitem__)
   121288    0.335    0.000   27.714    0.000 lax.py:409(lt)
    65100    0.333    0.000    3.127    0.000 linear_util.py:243(memoized_fun)
111980/111976    0.332    0.000   23.720    0.000 lax.py:756(select)
   970640    0.328    0.000    0.328    0.000 {built-in method from_iterable}
   254119    0.318    0.000    1.065    0.000 contextlib.py:237(helper)
   121106    0.313    0.000   48.345    0.000 lax_numpy.py:2528(<listcomp>)
   447850    0.311    0.000    0.459    0.000 lax_numpy.py:2698(<genexpr>)
    47120    0.309    0.000    1.308    0.000 lax.py:2124(_brcast)
    73371    0.308    0.000    0.539    0.000 numeric.py:1782(isscalar)
   421717    0.308    0.000    2.850    0.000 lax_numpy.py:309(<genexpr>)
    93282    0.308    0.000   35.573    0.000 lax_numpy.py:379(<lambda>)
